"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	"L"	"M"	"N"	"OUT"
"a"	0	1	1	0	0	1	0	0	0	1	1	1	1	0	1
"b"	1	0	0	0	1	1	0	0	0	1	0	0	1	1	1
"c"	1	1	1	0	0	1	0	0	0	1	0	0	0	1	1
"d"	1	1	1	1	0	1	1	0	0	1	0	0	1	0	0
"e"	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1
"f"	1	0	0	0	0	0	1	1	1	1	0	1	0	1	0
"g"	1	0	1	0	1	0	1	1	0	0	0	1	1	1	0
"h"	0	1	0	1	1	1	0	0	0	0	1	0	1	1	1
"i"	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0
"j"	0	1	1	1	0	1	1	0	1	1	1	0	0	0	1
"k"	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0
"l"	0	0	1	0	1	0	0	1	0	1	0	1	1	0	1
"m"	0	1	0	1	1	0	1	0	1	0	1	1	1	1	0
"n"	1	1	0	0	1	0	1	0	1	1	1	0	1	1	0
"o"	1	0	1	1	0	0	0	1	0	0	1	1	0	0	1
