"DYNA"	"ACCES"	"INFLU"	"ELITE"	"SOCIAL"	"OUT"
"SP52"	1	0	0	0	0	0
"EG53"	0	1	0	1	0	1
"PL56"	0	1	0	1	1	1
"PO58"	1	0	1	1	1	1
"PL60"	0	0	1	0	0	0
"PO62"	1	0	1	1	1	1
"SP62"	0	1	1	1	1	1
"SA64"	1	0	0	0	0	0
"GR68"	0	1	1	1	1	1
"HO68"	0	1	1	1	1	1
"PL68"	1	0	1	1	1	1
"CH73"	1	0	1	0	1	1
"UR73"	1	0	0	0	0	0
"AR77"	1	1	0	0	1	1
"SA76"	1	1	0	0	1	1
"BR77"	0	0	1	0	1	1
"RO77"	1	0	0	0	1	1
"RO78"	1	0	0	0	0	0
"IR80"	0	0	1	1	1	1
"CH83"	0	1	1	1	1	1
"CH83LCP"	0	1	0	1	0	0
"RO87"	1	0	0	0	1	1
"BU88"	1	1	0	0	0	1
"CN89"	0	1	1	1	1	1
