"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	"L"	"M"	"N"	"O"	"OUT"
"a"	1	1	0	0	0	1	1	1	1	0	0	1	0	0	0	1
"b"	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1
"c"	1	1	0	1	1	0	0	1	0	1	1	1	0	1	1	0
"d"	1	0	0	1	1	0	0	1	0	1	1	0	0	0	1	1
"e"	0	1	1	0	1	1	1	0	0	1	1	1	1	0	1	0
"f"	1	1	1	1	1	1	0	0	0	0	1	0	0	0	1	1
"g"	1	1	0	1	1	1	1	1	0	0	0	1	1	1	0	1
"h"	0	0	1	1	0	1	0	0	0	0	1	0	1	0	1	0
"i"	1	0	0	1	1	1	1	0	0	1	1	1	0	1	1	1
"j"	1	1	1	0	1	1	0	1	1	0	1	1	1	0	0	0
"k"	0	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1
"l"	1	0	0	1	1	0	1	1	1	0	1	1	0	1	0	0
"m"	1	0	1	1	0	1	1	1	0	1	1	1	0	1	1	0
"n"	1	1	0	1	1	0	0	0	1	1	1	0	0	1	1	1
"o"	1	0	0	0	1	1	0	1	1	1	1	0	1	1	1	0
