"OUT"	"GHENT"	"WORKACCES"	"NEOCORP"	"CLOSHOP"	"SOCDEM"	"INDUS"	"PUBLIC"	"UNEMPL"	"INFLA"
"SE"	74.5	2	2	2	0	4.1	30.6	31.3	1.8	4.2
"FI"	67.4	2	1	1	0	1.7	33.2	20.1	1.9	6.3
"DK"	67.4	2	2	2	0	2.8	28.2	34.1	2.8	5.6
"NO"	52.7	0	2	2	0	3.4	32.1	27	0.8	5
"IRE"	55.2	0	1	0	2	0.1	30	26.2	5.6	5.9
"UK"	48.3	0	1	0	2	2.5	38.9	29.4	1.6	4.7
"BE"	51.9	1	2	2	0	1.4	39	24	2.9	3.2
"AT"	56.1	0	1	2	0	2.2	38.6	38.4	2.8	4.9
"DE"	36.6	0	1	1	0	0.6	45	24.1	2.5	3.4
"CH"	32.9	0	0	1	0	0.8	41.2	10.5	0.3	3.8
"NL"	38.4	0	0	2	0	0.9	27.9	20.9	1.7	4.9
"IT"	47.2	0	1	0	0	0.4	40	26.4	4.8	4.5
"FR"	22.8	0	0	0	0	0.6	34.4	23.6	1.5	5.2
