"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	"L"	"OUT"
"a"	0	0	0	0	1	1	1	1	1	1	0	1	0
"b"	1	0	1	0	0	1	0	1	1	1	1	1	0
"c"	1	1	1	0	1	1	0	0	1	1	0	1	1
"d"	0	1	1	0	1	0	0	0	1	1	0	0	0
"e"	0	0	1	1	0	1	1	0	1	1	0	1	1
"f"	0	0	1	0	0	1	0	1	1	0	1	1	1
"g"	0	1	1	0	0	1	1	0	1	1	1	0	1
"h"	1	0	1	0	1	0	0	1	1	1	0	0	1
"i"	0	1	0	0	0	0	0	0	1	1	0	1	1
"j"	0	0	0	1	1	1	0	0	1	0	0	1	1
"k"	0	0	1	1	0	0	0	1	1	1	1	0	1
"l"	1	1	1	1	1	0	1	0	0	0	1	0	0
"m"	0	0	1	1	1	1	0	1	1	1	0	0	0
"n"	0	0	0	1	0	0	1	1	0	0	0	0	1
"o"	0	1	1	1	0	0	1	1	0	0	0	1	0
