"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	"L"	"M"	"OUT"
"a"	1	0	0	1	0	1	0	0	0	1	0	1	1	0
"b"	0	0	0	0	1	0	1	0	0	1	0	0	0	0
"c"	0	1	1	0	1	0	0	0	1	1	1	1	0	1
"d"	0	1	1	1	1	0	1	1	1	0	1	1	1	0
"e"	1	1	1	1	0	1	0	1	0	0	0	1	0	1
"f"	0	0	0	1	0	1	0	0	0	0	0	0	1	0
"g"	1	1	0	0	0	0	1	0	0	0	1	1	0	1
"h"	1	1	0	0	0	1	1	0	0	0	1	1	1	1
"i"	1	1	1	1	0	0	1	0	1	1	1	0	0	1
"j"	0	0	0	0	0	1	1	1	1	0	1	0	1	1
"k"	1	1	1	0	0	1	1	0	0	1	0	0	0	0
"l"	1	0	0	0	0	1	1	1	1	0	1	1	0	1
"m"	1	0	1	0	0	0	1	0	0	1	1	0	0	1
"n"	1	0	1	0	0	0	1	1	0	1	1	1	0	1
"o"	1	1	1	0	0	1	0	1	1	1	0	0	1	0
